Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-08-04 23:34:53,32.3182,-86.9023,93702,1666,35401.0,56635.0,1.0,1911.0435359873225,722301.0,11100.0,1.7779769908860004,84000001.0,USA,14731.261414774275,11.846065185374913
Alaska,US,2020-08-04 23:34:53,61.3707,-152.4044,3394,25,987.0,2382.0,2.0,463.94958614986086,252649.0,,0.7365939893930465,84000002.0,USA,34536.357982079026,
American Samoa,US,2020-08-04 23:34:53,-14.271,-170.132,0,0,,0.0,60.0,0.0,1267.0,,,16.0,ASM,2277.097823547384,
Arizona,US,2020-08-04 23:34:53,33.7298,-111.4312,180505,3845,23944.0,152716.0,4.0,2479.90133425987,971244.0,13294.0,2.1301348993102684,84000004.0,USA,13343.615365180427,7.364892939253759
Arkansas,US,2020-08-04 23:34:53,34.9697,-92.3731,45381,490,38000.0,6891.0,5.0,1503.775593113403,533899.0,3054.0,1.0797470306956656,84000005.0,USA,17691.639350998277,6.729688636213392
California,US,2020-08-04 23:34:53,36.1162,-119.6816,523245,9605,,513640.0,6.0,1324.261102697259,8305713.0,,1.8356601591988455,84000006.0,USA,21020.616835453682,
Colorado,US,2020-08-04 23:34:53,39.0598,-105.3111,48376,1849,5424.0,41103.0,8.0,840.0454544191642,552003.0,6487.0,3.82214321150984,84000008.0,USA,9585.488898952826,13.409541921614025
Connecticut,US,2020-08-04 23:34:53,41.5978,-72.7554,50110,4437,8613.0,37060.0,9.0,1405.496948772988,836271.0,10807.0,8.854520055877071,84000009.0,USA,23455.92374470835,21.566553582119337
Delaware,US,2020-08-04 23:34:53,39.3185,-75.5071,15137,587,8303.0,6247.0,10.0,1554.4834271959119,189308.0,,3.877915042610821,84000010.0,USA,19440.85014438817,
Diamond Princess,US,2020-08-04 23:34:53,,,49,0,,49.0,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2020-08-04 23:34:53,38.8974,-77.0268,12398,587,9959.0,1852.0,11.0,1756.7152061143552,200127.0,,4.7346346184868535,84000011.0,USA,28356.682049850588,
Florida,US,2020-08-04 23:34:53,27.7663,-81.6868,497330,7402,,489928.0,12.0,2315.560526697948,3784458.0,28333.0,1.4883477771298734,84000012.0,USA,17620.375926942394,5.6970220980033375
Georgia,US,2020-08-04 23:34:53,33.0406,-83.6431,197948,3921,,194027.0,13.0,1864.3695367510556,1664412.0,19426.0,1.980823246509184,84000013.0,USA,15676.233300679458,9.813688443429587
Grand Princess,US,2020-08-04 23:34:53,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999.0,USA,,
Guam,US,2020-08-04 23:34:53,13.4443,144.7937,375,5,318.0,52.0,66.0,228.3396963995397,22923.0,,1.3333333333333333,316.0,GUM,13957.94896151106,
Hawaii,US,2020-08-04 23:34:53,21.0943,-157.4983,2591,27,1315.0,1249.0,15.0,182.99676806943,130712.0,201.0,1.0420686993438826,84000015.0,USA,9231.907969081949,7.757622539560017
