Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-08-08 23:35:09,32.3182,-86.9023,98387,1735,37923.0,58729.0,1.0,2006.5936732960308,749502.0,11537.0,1.7634443574862533,84000001.0,USA,15286.023268548912,11.726142681451813
Alaska,US,2020-08-08 23:35:09,61.3707,-152.4044,3613,26,1254.0,2333.0,2.0,493.8862270947105,273593.0,,0.7196235815112095,84000002.0,USA,37399.33975353533,
American Samoa,US,2020-08-08 23:35:09,-14.271,-170.132,0,0,,0.0,60.0,0.0,1396.0,,,16.0,ASM,2508.9412483600217,
Arizona,US,2020-08-08 23:35:09,33.7298,-111.4312,186107,4137,25163.0,156807.0,4.0,2556.865447578193,1016521.0,19244.0,2.222914774833832,84000004.0,USA,13965.661805507756,10.340288113826993
Arkansas,US,2020-08-08 23:35:09,34.9697,-92.3731,48811,535,40360.0,7916.0,5.0,1617.4343993181797,551523.0,3223.0,1.0960644117104752,84000005.0,USA,18275.640167486028,6.603019811108153
California,US,2020-08-08 23:35:09,36.1162,-119.6816,554414,10306,,544108.0,6.0,1403.1455532127366,8707527.0,,1.858899667035825,84000006.0,USA,22037.55278461553,
Colorado,US,2020-08-08 23:35:09,39.0598,-105.3111,50306,1857,5490.0,42959.0,8.0,873.5597533903273,579131.0,6582.0,3.6914085794935,84000008.0,USA,10056.564496097757,13.083926370611856
Connecticut,US,2020-08-08 23:35:09,41.5978,-72.7554,50320,4441,8721.0,37158.0,9.0,1411.3870776742515,864633.0,10920.0,8.82551669316375,84000009.0,USA,24251.427725173322,21.701112877583466
Delaware,US,2020-08-08 23:35:09,39.3185,-75.5071,15502,590,8416.0,6496.0,10.0,1591.9668420685093,195894.0,,3.805960521223068,84000010.0,USA,20117.19472069208,
Diamond Princess,US,2020-08-08 23:35:09,,,49,0,,49.0,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2020-08-08 23:35:09,38.8974,-77.0268,12653,590,10124.0,1939.0,11.0,1792.8470320184656,213334.0,,4.662925788350589,84000011.0,USA,30228.027244813667,
