Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-08-07 23:37:00,32.3182,-86.9023,98301,1735,37923.0,58643.0,1.0,2004.8397113304925,749416.0,11537.0,1.7649871313618375,84000001.0,USA,15284.269306583374,11.736401460819321
Alaska,US,2020-08-07 23:37:00,61.3707,-152.4044,3536,25,1238.0,2273.0,2.0,483.36055881729766,268851.0,,0.7070135746606335,84000002.0,USA,36751.12262403543,
American Samoa,US,2020-08-07 23:37:00,-14.271,-170.132,0,0,,0.0,60.0,0.0,1396.0,,,16.0,ASM,2508.9412483600217,
Arizona,US,2020-08-07 23:37:00,33.7298,-111.4312,185053,4081,24815.0,156157.0,4.0,2542.384873597916,1004845.0,19241.0,2.2053141532425844,84000004.0,USA,13805.248919555466,10.397561779598275
Arkansas,US,2020-08-07 23:37:00,34.9697,-92.3731,48039,521,40360.0,7158.0,5.0,1591.8528837525564,551523.0,3168.0,1.0845354815878765,84000005.0,USA,18275.640167486028,6.5946418534940365
California,US,2020-08-07 23:37:00,36.1162,-119.6816,543756,10083,,533673.0,6.0,1376.1716216270597,8596882.0,,1.8543243660759603,84000006.0,USA,21757.52551305453,
Colorado,US,2020-08-07 23:37:00,39.0598,-105.3111,49875,1857,5490.0,42528.0,8.0,866.0754721174925,571363.0,6572.0,3.723308270676692,84000008.0,USA,9921.67378396926,13.176942355889725
Connecticut,US,2020-08-07 23:37:00,41.5978,-72.7554,50320,4441,8721.0,37158.0,9.0,1411.3870776742515,864633.0,10920.0,8.82551669316375,84000009.0,USA,24251.427725173322,21.701112877583466
Delaware,US,2020-08-07 23:37:00,39.3185,-75.5071,15445,588,8392.0,6465.0,10.0,1586.113267691145,194784.0,,3.807057300097119,84000010.0,USA,20003.20406176445,
Diamond Princess,US,2020-08-07 23:37:00,,,49,0,,49.0,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2020-08-07 23:37:00,38.8974,-77.0268,12589,589,10118.0,1882.0,11.0,1783.7786521837086,208725.0,,4.6786877432679335,84000011.0,USA,29574.962203276235,
Florida,US,2020-08-07 23:37:00,27.7663,-81.6868,510389,7747,,502642.0,12.0,2376.3630218584017,3896939.0,30114.0,1.5178618661452343,84000012.0,USA,18144.085664146092,5.900205529507885
Georgia,US,2020-08-07 23:37:00,33.0406,-83.6431,208983,4115,,204868.0,13.0,1968.302477917664,1753129.0,20282.0,1.9690596842805397,84000013.0,USA,16511.812706341265,9.705095629788069
Grand Princess,US,2020-08-07 23:37:00,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999.0,USA,,
Guam,US,2020-08-07 23:37:00,13.4443,144.7937,411,5,321.0,85.0,66.0,250.26030725389546,24362.0,,1.2165450121654502,316.0,GUM,14834.164489828228,
Hawaii,US,2020-08-07 23:37:00,21.0943,-157.4983,3115,31,1440.0,1644.0,15.0,220.0057632328346,135284.0,225.0,0.9951845906902088,84000015.0,USA,9554.818514667992,7.223113964686997
Idaho,US,2020-08-07 23:37:00,44.2405,-114.4788,23401,223,8486.0,14692.0,16.0,1309.46552028046,198700.0,954.0,0.9529507286013418,84000016.0,USA,11118.789747435041,4.076748856886458
Illinois,US,2020-08-07 23:37:00,40.3495,-88.9861,191808,7822,,183986.0,17.0,1513.6577450076038,2985918.0,,4.078036369703036,84000017.0,USA,23563.448378887297,
Indiana,US,2020-08-07 23:37:00,39.8494,-86.2583,72254,3023,54068.0,15163.0,18.0,1073.2568266124438,817104.0,9354.0,4.183851413070556,84000018.0,USA,12137.216570049191,12.945996069421762
Iowa,US,2020-08-07 23:37:00,42.0115,-93.2105,47888,913,36322.0,10653.0,19.0,1517.8110152865072,508700.0,,1.9065319077848315,84000019.0,USA,16123.255585454524,
Kansas,US,2020-08-07 23:37:00,38.5266,-96.7265,30129,379,1293.0,28457.0,20.0,1034.1830643727383,316512.0,1875.0,1.2579242590195492,84000020.0,USA,10864.328390279936,6.223240067708852
Kentucky,US,2020-08-07 23:37:00,37.6681,-84.6701,33796,764,8589.0,24443.0,21.0,756.4564371653879,641994.0,3975.0,2.260622558882708,84000021.0,USA,14369.762513953016,11.761746952302046
Louisiana,US,2020-08-07 23:37:00,31.1695,-91.8678,128746,4207,89083.0,35456.0,22.0,2769.4494529118733,1505002.0,,3.2676743355133366,84000022.0,USA,32374.030770130918,
Maine,US,2020-08-07 23:37:00,44.6939,-69.3819,4016,124,3479.0,413.0,23.0,298.762397597998,183722.0,393.0,3.0876494023904377,84000023.0,USA,13667.635759835503,9.78585657370518
Maryland,US,2020-08-07 23:37:00,39.0639,-76.8021,93806,3565,5838.0,84403.0,24.0,1551.6203305500787,1006824.0,13047.0,3.8003965631196297,84000024.0,USA,16653.610511968876,13.908491994115515
Massachusetts,US,2020-08-07 23:37:00,42.2302,-71.5301,120291,8709,99021.0,12561.0,25.0,1745.244071710959,1286055.0,12022.0,7.2399431378906165,84000025.0,USA,18658.751399890578,9.994097646540473
Michigan,US,2020-08-07 23:37:00,43.3266,-84.5361,95470,6524,60022.0,28924.0,26.0,955.9564135142817,2036595.0,,6.833560280716457,84000026.0,USA,20392.75219420885,
Minnesota,US,2020-08-07 23:37:00,45.6945,-93.9002,59185,1681,51940.0,5564.0,27.0,1049.4479072393376,910271.0,5458.0,2.8402466841260456,84000027.0,USA,16140.609883765466,9.221931232575821
Mississippi,US,2020-08-07 23:37:00,32.7416,-89.6787,65436,1848,42391.0,21197.0,28.0,2198.680240807836,487212.0,4577.0,2.82413350449294,84000028.0,USA,16370.551340003474,6.99462069808668
Missouri,US,2020-08-07 23:37:00,38.4561,-92.2884,57834,1322,,56512.0,29.0,942.3165534487737,752740.0,,2.285852612649998,84000029.0,USA,12264.74673104108,
Montana,US,2020-08-07 23:37:00,46.9219,-110.4544,4757,70,3122.0,1565.0,30.0,445.0877544260828,187756.0,264.0,1.471515661130965,84000030.0,USA,17567.352621405007,5.5497162076939235
Nebraska,US,2020-08-07 23:37:00,41.1254,-98.2681,28104,345,20176.0,7583.0,31.0,1452.8475895467761,293902.0,1688.0,1.2275832621690863,84000031.0,USA,15193.3821613641,6.006262453743238
Nevada,US,2020-08-07 23:37:00,38.3135,-117.0554,54533,920,1297.0,52316.0,32.0,1770.4622752873556,506998.0,,1.6870518768452132,84000032.0,USA,16460.140330554685,
New Hampshire,US,2020-08-07 23:37:00,43.4525,-71.5639,6779,419,5941.0,419.0,33.0,498.56182674112364,168465.0,699.0,6.180852633131731,84000033.0,USA,12389.765178041509,10.311255347396369
New Jersey,US,2020-08-07 23:37:00,40.2989,-74.521,184061,15849,32956.0,135256.0,34.0,2072.2479478597056,2252792.0,21949.0,8.61073231157062,84000034.0,USA,25363.024209119598,11.924851000483534
New Mexico,US,2020-08-07 23:37:00,34.8405,-106.2485,21964,674,8950.0,12340.0,35.0,1047.4864664691304,604382.0,2803.0,3.0686578036787466,84000035.0,USA,28823.618902638224,12.761792023310873
New York,US,2020-08-07 23:37:00,42.1657,-74.9481,419642,32760,73530.0,313352.0,36.0,2157.147475467345,6368975.0,89995.0,7.80665424337888,84000036.0,USA,32739.37866697002,21.44566082517956
North Carolina,US,2020-08-07 23:37:00,35.6301,-79.8064,133337,2160,105093.0,26084.0,37.0,1271.3189558741142,1939812.0,,1.619955451225091,84000037.0,USA,18495.389625025888,
North Dakota,US,2020-08-07 23:37:00,47.5289,-99.784,7327,110,6164.0,1053.0,38.0,961.470326561356,165701.0,408.0,1.5012965743141804,84000038.0,USA,21743.76887969745,5.568445475638051
Northern Mariana Islands,US,2020-08-07 23:37:00,15.0979,145.6739,47,2,29.0,16.0,69.0,85.23139416799651,12301.0,4.0,4.25531914893617,580.0,MNP,22307.050631075,8.51063829787234
Ohio,US,2020-08-07 23:37:00,40.3888,-82.7649,98675,3652,75975.0,19048.0,39.0,844.1625103729116,1623095.0,11447.0,3.7010387636179383,84000039.0,USA,13885.542941714932,11.600709399543955
Oklahoma,US,2020-08-07 23:37:00,35.5653,-96.9289,42255,600,35001.0,6654.0,40.0,1067.8622613104822,685815.0,3555.0,1.419950301739439,84000040.0,USA,17331.817695909318,8.413205537806176
Oregon,US,2020-08-07 23:37:00,44.572,-122.0709,20624,346,4111.0,16167.0,41.0,488.98259896242934,437693.0,1758.0,1.677657098525989,84000041.0,USA,10377.43699998364,8.524049650892165
Pennsylvania,US,2020-08-07 23:37:00,40.5908,-77.2098,122028,7296,90304.0,24428.0,42.0,953.1956323349443,1316899.0,,5.978955649523059,84000042.0,USA,10286.674984644964,
Puerto Rico,US,2020-08-07 23:37:00,18.2208,-66.5901,20686,265,,20421.0,72.0,705.1865952503027,326658.0,,1.281059653872184,630.0,PRI,11135.784725479714,
Rhode Island,US,2020-08-07 23:37:00,41.6809,-71.5118,19738,1014,1876.0,16848.0,44.0,1863.19866410034,217973.0,2276.0,5.137298611814773,84000044.0,USA,20575.89433630273,11.531056844665112
South Carolina,US,2020-08-07 23:37:00,33.8569,-80.945,98219,1962,37798.0,58459.0,45.0,1907.6414032707971,767961.0,6153.0,1.9975768435842352,84000045.0,USA,14915.588630481318,6.264572027815392
South Dakota,US,2020-08-07 23:37:00,44.2998,-99.4388,9371,144,8244.0,983.0,46.0,1059.2782077614088,118727.0,866.0,1.5366556397396225,84000046.0,USA,13420.651347016197,9.241276277878562
Tennessee,US,2020-08-07 23:37:00,35.7478,-86.6923,118768,1205,79357.0,38206.0,47.0,1739.1268695159913,1662032.0,5190.0,1.0145830526741209,84000047.0,USA,24337.233170512274,4.369863936413848
Texas,US,2020-08-07 23:37:00,31.0545,-97.5635,490499,8817,331668.0,150014.0,48.0,1691.6161298910006,4000532.0,,1.7975571815640807,84000048.0,USA,13796.897566243977,
