Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-08-05 23:35:47,32.3182,-86.9023,94634,1694,37923.0,55017.0,1.0,1930.051588916184,727460.0,11100.0,1.7900543145169812,84000001.0,USA,14836.478737800022,11.729399581545744
Alaska,US,2020-08-05 23:35:47,61.3707,-152.4044,3448,25,1017.0,2406.0,2.0,471.3312236431115,257279.0,,0.7250580046403712,84000002.0,USA,35169.26504862995,
American Samoa,US,2020-08-05 23:35:47,-14.271,-170.132,0,0,,0.0,60.0,0.0,1396.0,,,16.0,ASM,2508.9412483600217,
Arizona,US,2020-08-05 23:35:47,33.7298,-111.4312,182203,3932,24222.0,154049.0,4.0,2503.2296213742065,985542.0,13559.0,2.1580325241626097,84000004.0,USA,13540.051083178532,7.441699642706211
Arkansas,US,2020-08-05 23:35:47,34.9697,-92.3731,46293,508,38848.0,6937.0,5.0,1533.9962436261599,534811.0,3118.0,1.0973581318989911,84000005.0,USA,17721.86000151103,6.735359557600501
California,US,2020-08-05 23:35:47,36.1162,-119.6816,528167,9728,,518439.0,6.0,1336.7180074884675,8409400.0,,1.8418416902229784,84000006.0,USA,21283.034366352917,
Colorado,US,2020-08-05 23:35:47,39.0598,-105.3111,48970,1851,5449.0,41670.0,8.0,850.3602179367139,555422.0,6516.0,3.7798652236062895,84000008.0,USA,9644.85956640485,13.306105779048398
Connecticut,US,2020-08-05 23:35:47,41.5978,-72.7554,50225,4437,8613.0,37175.0,9.0,1408.7224955522515,848109.0,10807.0,8.834245893479341,84000009.0,USA,23787.958725342447,21.517172722747635
Delaware,US,2020-08-05 23:35:47,39.3185,-75.5071,15296,587,8339.0,6370.0,10.0,1570.811818880139,190700.0,,3.837604602510461,84000010.0,USA,19583.80059234065,
Diamond Princess,US,2020-08-05 23:35:47,,,49,0,,49.0,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2020-08-05 23:35:47,38.8974,-77.0268,12443,587,10015.0,1841.0,11.0,1763.0914106856687,202825.0,,4.7175118540544885,84000011.0,USA,28738.970937259564,
Florida,US,2020-08-05 23:35:47,27.7663,-81.6868,502739,7627,,495112.0,12.0,2340.7447441972117,3814884.0,28956.0,1.5170893843525168,84000012.0,USA,17762.038896369762,5.759648644724201
Georgia,US,2020-08-05 23:35:47,33.0406,-83.6431,201705,3982,,197723.0,13.0,1899.7547710023418,1695224.0,19788.0,1.9741701990530724,84000013.0,USA,15966.435546554,9.810366624525917
Grand Princess,US,2020-08-05 23:35:47,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999.0,USA,,
