Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-07-28 23:35:20,32.3182,-86.9023,82366,1491,32510.0,48365.0,1.0,1679.8468750414272,665399.0,9893.0,1.8102129519461916,84000001.0,USA,13570.75044078492,12.011023966199643
Alaska,US,2020-07-28 23:35:20,61.3707,-152.4044,2730,22,836.0,1872.0,2.0,373.1827843810018,213875.0,,0.8058608058608059,84000002.0,USA,29236.068867943868,
American Samoa,US,2020-07-28 23:35:20,-14.271,-170.132,0,0,,0.0,60.0,0.0,1037.0,,,16.0,ASM,1863.7335777574087,
Arizona,US,2020-07-28 23:35:20,33.7298,-111.4312,165934,3408,21626.0,140900.0,4.0,2279.714955259285,890931.0,9394.0,2.0538286306603832,84000004.0,USA,12240.220357516304,5.661287017729942
Arkansas,US,2020-07-28 23:35:20,34.9697,-92.3731,40181,428,33188.0,6565.0,5.0,1331.464866505578,489906.0,2686.0,1.0651800602274708,84000005.0,USA,16233.857467217884,6.68475149946492
California,US,2020-07-28 23:35:20,36.1162,-119.6816,470762,8677,,462085.0,6.0,1191.4338507352522,7417866.0,,1.8431819050815488,84000006.0,USA,18773.598235664947,
Colorado,US,2020-07-28 23:35:20,39.0598,-105.3111,45296,1807,5212.0,38277.0,8.0,786.561495439277,500430.0,6271.0,3.989314729777464,84000008.0,USA,8689.927789709409,13.844489579653834
Connecticut,US,2020-07-28 23:35:20,41.5978,-72.7554,49077,4423,8516.0,36138.0,9.0,1376.5231242253426,752688.0,10712.0,9.012368319171914,84000009.0,USA,21111.56829730678,21.82692503616765
Delaware,US,2020-07-28 23:35:20,39.3185,-75.5071,14476,580,8076.0,5820.0,10.0,1486.6025032759478,174623.0,,4.006631666206134,84000010.0,USA,17932.784535061885,
Diamond Princess,US,2020-07-28 23:35:20,,,49,0,,49.0,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2020-07-28 23:35:20,38.8974,-77.0268,11945,583,9664.0,1698.0,11.0,1692.5280800964651,178022.0,,4.880703223105902,84000011.0,USA,25224.548670986427,
Florida,US,2020-07-28 23:35:20,27.7663,-81.6868,441977,6117,,435860.0,12.0,2057.837843903201,3480299.0,25280.0,1.3840086701344188,84000012.0,USA,16204.216487053547,5.71975464786629
Georgia,US,2020-07-28 23:35:20,33.0406,-83.6431,170843,3509,,167334.0,13.0,1609.0816010627059,1487326.0,17544.0,2.053932557962574,84000013.0,USA,14008.352120848911,10.269077457080476
Grand Princess,US,2020-07-28 23:35:20,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999.0,USA,,
Guam,US,2020-07-28 23:35:20,13.4443,144.7937,349,5,291.0,53.0,66.0,212.50814411583823,20792.0,,1.4326647564469914,316.0,GUM,12660.370580104609,
Hawaii,US,2020-07-28 23:35:20,21.0943,-157.4983,1758,26,1191.0,541.0,15.0,124.16376621615515,114143.0,165.0,1.4789533560864618,84000015.0,USA,8061.675066672694,9.38566552901024
Idaho,US,2020-07-28 23:35:20,44.2405,-114.4788,18692,152,5964.0,12576.0,16.0,1045.9608352242365,170717.0,750.0,0.8131821099935801,84000016.0,USA,9552.926166647547,4.012411726942007
Illinois,US,2020-07-28 23:35:20,40.3495,-88.9861,174968,7638,,167330.0,17.0,1380.7644536645525,2571707.0,,4.365369667596361,84000017.0,USA,20294.69166270578,
Indiana,US,2020-07-28 23:35:20,39.8494,-86.2583,63678,2924,44548.0,16206.0,18.0,945.8694079916296,716809.0,8505.0,4.5918527591946985,84000018.0,USA,10647.440316484059,13.356261189107697
Iowa,US,2020-07-28 23:35:20,42.0115,-93.2105,42789,839,30623.0,11327.0,19.0,1356.1981192176402,457435.0,,1.96078431372549,84000019.0,USA,14498.410494854314,
Kansas,US,2020-07-28 23:35:20,38.5266,-96.7265,26044,338,1108.0,24598.0,20.0,893.9647425577881,278936.0,1644.0,1.2978037167869758,84000020.0,USA,9574.525780605867,6.312394409460912
Kentucky,US,2020-07-28 23:35:20,37.6681,-84.6701,28111,719,7470.0,19922.0,21.0,629.2089864231335,557713.0,3279.0,2.5577176194372306,84000021.0,USA,12483.299471559356,11.664472982106647
Louisiana,US,2020-07-28 23:35:20,31.1695,-91.8678,111038,3812,61456.0,45770.0,22.0,2388.53345620391,1276304.0,,3.4330589527909363,84000022.0,USA,27454.51831163093,
Maine,US,2020-07-28 23:35:20,44.6939,-69.3819,3838,121,3319.0,398.0,23.0,285.5204387403178,159100.0,384.0,3.1526836894215737,84000023.0,USA,11835.930641892795,10.005211047420529
Maryland,US,2020-07-28 23:35:20,39.0639,-76.8021,85524,3458,5592.0,76474.0,24.0,1414.6299506424427,868256.0,12389.0,4.043309480379777,84000024.0,USA,14361.593733045745,14.485992236097472
Massachusetts,US,2020-07-28 23:35:20,42.2302,-71.5301,116182,8551,96452.0,11179.0,25.0,1685.6285735385245,1141116.0,11855.0,7.360004131448933,84000025.0,USA,16555.901390249666,10.20381814738944
Michigan,US,2020-07-28 23:35:20,43.3266,-84.5361,87958,6421,57502.0,24035.0,26.0,880.7375533663893,1727882.0,,7.300075035812548,84000026.0,USA,17301.559439571432,
Minnesota,US,2020-07-28 23:35:20,45.6945,-93.9002,52281,1620,45987.0,4674.0,27.0,927.0285720770433,979988.0,5028.0,3.0986400413152007,84000027.0,USA,17376.807564748906,9.617260572674585
Mississippi,US,2020-07-28 23:35:20,32.7416,-89.6787,54085,1540,35071.0,17474.0,28.0,1817.281325632554,433133.0,4103.0,2.8473698807432744,84000028.0,USA,14553.47161718046,7.586206896551723
Missouri,US,2020-07-28 23:35:20,38.4561,-92.2884,45181,1232,,43949.0,29.0,736.1552754671827,652924.0,,2.726809942232354,84000029.0,USA,10638.397713178876,
Montana,US,2020-07-28 23:35:20,46.9219,-110.4544,3474,51,2104.0,1319.0,30.0,325.04411580328184,161408.0,205.0,1.468048359240069,84000030.0,USA,15102.107266429512,5.900978698906161
Nebraska,US,2020-07-28 23:35:20,41.1254,-98.2681,25157,322,18520.0,6315.0,31.0,1300.5012386218418,261103.0,1587.0,1.2799618396470167,84000031.0,USA,13497.824657466264,6.308383352546011
Nevada,US,2020-07-28 23:35:20,38.3135,-117.0554,44936,759,1054.0,43123.0,32.0,1458.8871472743588,450886.0,,1.68906889798825,84000032.0,USA,14638.414417971038,
New Hampshire,US,2020-07-28 23:35:20,43.4525,-71.5639,6441,409,5688.0,344.0,33.0,473.7036031921489,156083.0,690.0,6.349945660611707,84000033.0,USA,11479.130491700073,10.71262226362366
New Jersey,US,2020-07-28 23:35:20,40.2989,-74.521,180295,15825,32313.0,132157.0,34.0,2029.8484945717214,1984304.0,21321.0,8.777281677251171,84000034.0,USA,22340.256175560302,11.825619124213095
New Mexico,US,2020-07-28 23:35:20,34.8405,-106.2485,19780,625,7459.0,11696.0,35.0,943.3291889801221,528890.0,2590.0,3.1597573306370066,84000035.0,USA,25223.32531646596,13.094034378159757
New York,US,2020-07-28 23:35:20,42.1657,-74.9481,412878,32653,72813.0,307412.0,36.0,2122.377491709616,5684546.0,89995.0,7.908631605462147,84000036.0,USA,29221.10764193764,21.796995722707432
North Carolina,US,2020-07-28 23:35:20,35.6301,-79.8064,116700,1860,92302.0,22538.0,37.0,1112.6913171175977,1663540.0,,1.5938303341902311,84000037.0,USA,15861.238334856967,
North Dakota,US,2020-07-28 23:35:20,47.5289,-99.784,6141,100,4957.0,1084.0,38.0,805.8399447813957,150046.0,343.0,1.6283992835043153,84000038.0,USA,19689.474084785757,5.585409542419801
Northern Mariana Islands,US,2020-07-28 23:35:20,15.0979,145.6739,40,2,29.0,9.0,69.0,72.53735673872046,11759.0,4.0,5.0,580.0,MNP,21324.169447265343,10.0
