Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-07-25 23:35:09,32.3182,-86.9023,78130,1456,32510.0,44164.0,1.0,1593.4540507853571,641611.0,9157.0,1.8635607321131449,84000001.0,USA,13085.596403154275,11.72020990656598
Alaska,US,2020-07-25 23:35:09,61.3707,-152.4044,2339,20,815.0,1504.0,2.0,319.734261050243,205066.0,,0.8550662676357418,84000002.0,USA,28031.90507760972,
American Samoa,US,2020-07-25 23:35:09,-14.271,-170.132,0,0,,0.0,60.0,0.0,1037.0,,,16.0,ASM,1863.7335777574087,
Arizona,US,2020-07-25 23:35:09,33.7298,-111.4312,160049,3286,20566.0,136197.0,4.0,2198.862794088573,857609.0,7627.0,2.053121231622816,84000004.0,USA,11782.419896253694,4.7654155914751115
Arkansas,US,2020-07-25 23:35:09,34.9697,-92.3731,37975,398,29827.0,7750.0,5.0,1258.365354410028,461464.0,2361.0,1.0480579328505597,84000005.0,USA,15291.384066029468,6.217248189598419
California,US,2020-07-25 23:35:09,36.1162,-119.6816,446152,8406,,437746.0,6.0,1129.1493267792093,7047355.0,,1.8841112445982533,84000006.0,USA,17835.88587258176,
Colorado,US,2020-07-25 23:35:09,39.0598,-105.3111,43771,1794,5133.0,36844.0,8.0,760.079989775534,479744.0,6227.0,4.098604098604098,84000008.0,USA,8330.717018456828,14.226314226314225
Connecticut,US,2020-07-25 23:35:09,41.5978,-72.7554,48776,4413,8516.0,35847.0,9.0,1368.0806061335315,713072.0,10712.0,9.04748236837789,84000009.0,USA,20000.4095041998,21.961620469083158
Delaware,US,2020-07-25 23:35:09,39.3185,-75.5071,14175,579,7961.0,5635.0,10.0,1455.6915227919699,166922.0,,4.084656084656085,84000010.0,USA,17141.935828393736,
Diamond Princess,US,2020-07-25 23:35:09,,,49,0,,49.0,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2020-07-25 23:35:09,38.8974,-77.0268,11717,581,9603.0,1533.0,11.0,1660.2219769351427,169009.0,,4.958607152001366,84000011.0,USA,23947.46574206977,
Florida,US,2020-07-25 23:35:09,27.7663,-81.6868,414511,5777,,408734.0,12.0,1929.9565871395112,3336377.0,24086.0,1.3936903966360357,84000012.0,USA,15534.117956654372,5.8107022491562335
Georgia,US,2020-07-25 23:35:09,33.0406,-83.6431,165181,3491,,161690.0,13.0,1555.7541599312754,1407840.0,17029.0,2.1134391970020765,84000013.0,USA,13259.714716085062,10.309297074118692
Grand Princess,US,2020-07-25 23:35:09,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999.0,USA,,
Guam,US,2020-07-25 23:35:09,13.4443,144.7937,337,5,244.0,88.0,66.0,205.20127383105302,20032.0,,1.483679525222552,316.0,GUM,12197.602128734876,
Hawaii,US,2020-07-25 23:35:09,21.0943,-157.4983,1620,26,1148.0,446.0,15.0,114.41712245174706,112790.0,156.0,1.6049382716049383,84000015.0,USA,7966.115581069475,9.629629629629632
Idaho,US,2020-07-25 23:35:09,44.2405,-114.4788,17265,144,5251.0,11870.0,16.0,966.1092349746652,163440.0,709.0,0.8340573414422241,84000016.0,USA,9145.722175746263,4.106573993628729
Illinois,US,2020-07-25 23:35:09,40.3495,-88.9861,171122,7589,,163533.0,17.0,1350.4136461523565,2471965.0,,4.434847652551981,84000017.0,USA,19507.57511489469,
Indiana,US,2020-07-25 23:35:09,39.8494,-86.2583,61520,2895,43535.0,15090.0,18.0,913.8145981287894,690274.0,8180.0,4.705786736020807,84000018.0,USA,10253.290928295708,13.296488946684006
Iowa,US,2020-07-25 23:35:09,42.0115,-93.2105,41670,826,29477.0,11367.0,19.0,1320.7313942321407,446263.0,,1.982241420686345,84000019.0,USA,14144.313755320802,
Kansas,US,2020-07-25 23:35:09,38.5266,-96.7265,24968,329,1077.0,23562.0,20.0,857.0308590148538,277967.0,1596.0,1.3176866388977893,84000020.0,USA,9541.264690314878,6.392181992950977
Kentucky,US,2020-07-25 23:35:09,37.6681,-84.6701,26764,696,7421.0,18647.0,21.0,599.0590627380294,541583.0,3266.0,2.600508145269765,84000021.0,USA,12122.261409910709,12.202959198923928
Louisiana,US,2020-07-25 23:35:09,31.1695,-91.8678,103734,3715,61456.0,38563.0,22.0,2231.417438587298,1199726.0,,3.5812751846067825,84000022.0,USA,25807.252375562348,
Maine,US,2020-07-25 23:35:09,44.6939,-69.3819,3790,119,3281.0,390.0,23.0,281.9495734303815,153373.0,379.0,3.1398416886543536,84000023.0,USA,11409.88177460103,10.0
Maryland,US,2020-07-25 23:35:09,39.0639,-76.8021,83054,3433,5434.0,74187.0,24.0,1373.7743314234297,825326.0,12188.0,4.133455342307414,84000024.0,USA,13651.499913988171,14.674789895730491
Massachusetts,US,2020-07-25 23:35:09,42.2302,-71.5301,115268,8510,96452.0,10306.0,25.0,1672.367788595812,1110883.0,11813.0,7.382794878023389,84000025.0,USA,16117.265382401718,10.248290939376062
Michigan,US,2020-07-25 23:35:09,43.3266,-84.5361,85622,6400,55162.0,24060.0,26.0,857.3468109135837,1614646.0,,7.4747144425498115,84000026.0,USA,16167.709220228147,
Minnesota,US,2020-07-25 23:35:09,45.6945,-93.9002,50291,1611,43625.0,5055.0,27.0,891.7425817854783,940696.0,4889.0,3.2033564653715376,84000027.0,USA,16680.09543885133,9.721421327871788
Mississippi,US,2020-07-25 23:35:09,32.7416,-89.6787,50981,1478,30315.0,19188.0,28.0,1712.9854721655402,421886.0,3982.0,2.8991192797316647,84000028.0,USA,14175.567150703811,7.810753025637003
Missouri,US,2020-07-25 23:35:09,38.4561,-92.2884,41022,1199,,39823.0,29.0,668.3907330562574,619721.0,,2.9228219004436644,84000029.0,USA,10097.40562333277,
Montana,US,2020-07-25 23:35:09,46.9219,-110.4544,3259,46,1977.0,1236.0,30.0,304.9276837659458,151015.0,195.0,1.4114759128567045,84000030.0,USA,14129.688298224699,5.983430500153421
Nebraska,US,2020-07-25 23:35:09,41.1254,-98.2681,24395,316,17999.0,6080.0,31.0,1261.1093419795618,252605.0,1548.0,1.2953474072555848,84000031.0,USA,13058.517127720728,6.345562615290017
Nevada,US,2020-07-25 23:35:09,38.3135,-117.0554,41816,732,994.0,40090.0,32.0,1357.5935764292458,430521.0,,1.7505261144059692,84000032.0,USA,13977.246606990037,
New Hampshire,US,2020-07-25 23:35:09,43.4525,-71.5639,6375,407,5438.0,530.0,33.0,468.84963054649114,152290.0,686.0,6.3843137254901965,84000033.0,USA,11200.174154654924,10.760784313725493
New Jersey,US,2020-07-25 23:35:09,40.2989,-74.521,178858,15776,32061.0,131021.0,34.0,2013.6700520930085,1888157.0,21314.0,8.820405014033481,84000034.0,USA,21257.786649463702,11.916716054076419
New Mexico,US,2020-07-25 23:35:09,34.8405,-106.2485,18784,606,7156.0,11022.0,35.0,895.8288921032664,505177.0,2525.0,3.226149914821125,84000035.0,USA,24092.427184095606,13.442291311754685
New York,US,2020-07-25 23:35:09,42.1657,-74.9481,411200,32608,72632.0,305960.0,36.0,2113.751821581663,5516311.0,89995.0,7.929961089494164,84000036.0,USA,28356.304534681338,21.885943579766536
North Carolina,US,2020-07-25 23:35:09,35.6301,-79.8064,111421,1811,78707.0,30903.0,37.0,1062.3580055232203,1579042.0,,1.6253668518501898,84000037.0,USA,15055.581171928066,
North Dakota,US,2020-07-25 23:35:09,47.5289,-99.784,5736,99,4671.0,966.0,38.0,752.6946626389978,144260.0,328.0,1.7259414225941423,84000038.0,USA,18930.21827620325,5.718270571827057
Northern Mariana Islands,US,2020-07-25 23:35:09,15.0979,145.6739,39,2,29.0,8.0,69.0,70.72392282025244,11339.0,4.0,5.128205128205129,580.0,MNP,20562.527201508776,10.256410256410255
Ohio,US,2020-07-25 23:35:09,40.3888,-82.7649,83184,3297,57731.0,22156.0,39.0,711.6373373484698,1293822.0,10145.0,3.9635025966532025,84000039.0,USA,11068.619483108196,12.195854972110023
