Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Seychelles,2020-08-10 05:35:15,-4.6796,55.492,126.0,0.0,125,1.0,128.1269066503966,,,0.0,690,SYC
Timor-Leste,2020-08-10 05:35:15,-8.874217,125.727539,25.0,0.0,24,1.0,1.8961774579389916,,,0.0,626,TLS
Laos,2020-08-10 05:35:15,19.856270000000002,102.495496,20.0,0.0,19,1.0,0.27489308033640314,,,0.0,418,LAO
Dominica,2020-08-10 05:35:15,15.415,-61.371,18.0,0.0,18,0.0,25.003125390673834,,,0.0,212,DMA
Panama,2020-08-10 05:35:15,8.538,-80.7821,74492.0,1639.0,48748,24105.0,1726.4427658682923,,,2.2002362669816895,591,PAN
Kuwait,2020-08-10 05:35:15,29.311659999999996,47.481766,71713.0,478.0,63519,7716.0,1679.239950329734,,,0.6665458145663966,414,KWT
Kyrgyzstan,2020-08-10 05:35:15,41.20438,74.766098,40085.0,1474.0,32126,6485.0,614.4056788037014,,,3.67718597979294,417,KGZ
Venezuela,2020-08-10 05:35:15,6.4238,-66.5897,25805.0,223.0,13356,12226.0,90.7478257359005,,,0.8641736097655494,862,VEN
Costa Rica,2020-08-10 05:35:15,9.7489,-83.7534,23286.0,235.0,7730,15321.0,457.1158007064624,,,1.0091900712874688,188,CRI
Nepal,2020-08-10 05:35:15,28.1667,84.25,22972.0,75.0,16353,6544.0,78.84185529176703,,,0.326484415810552,524,NPL
"Korea, South",2020-08-10 05:35:15,35.907757000000004,127.766922,14626.0,305.0,13658,663.0,28.52785853833481,,,2.0853274989744293,410,KOR
Senegal,2020-08-10 05:35:15,14.4974,-14.4524,11175.0,232.0,7352,3591.0,66.74060390840144,,,2.076062639821029,686,SEN
Mauritania,2020-08-10 05:35:15,21.0079,-10.9408,6523.0,157.0,5527,839.0,140.28982764331155,,,2.406868005518933,478,MRT
Estonia,2020-08-10 05:35:15,58.5953,25.0136,2152.0,63.0,1961,128.0,162.22666653600083,,,2.9275092936802976,233,EST
New Zealand,2020-08-10 05:35:15,-40.9006,174.886,1569.0,22.0,1526,21.0,32.53679363896352,,,1.4021669853409815,554,NZL
Latvia,2020-08-10 05:35:15,56.8796,24.6032,1290.0,32.0,1070,188.0,68.39140240546877,,,2.4806201550387597,428,LVA
Liberia,2020-08-10 05:35:15,6.4280550000000005,-9.429499,1237.0,79.0,723,435.0,24.457868701382075,,,6.386418755052547,430,LBR
Comoros,2020-08-10 05:35:15,-11.6455,43.3333,399.0,7.0,369,23.0,45.883428492574126,,,1.7543859649122806,174,COM
Burma,2020-08-10 05:35:15,21.9162,95.956,360.0,6.0,312,42.0,0.6616455853517843,,,1.6666666666666667,104,MMR
Mauritius,2020-08-10 05:35:15,-20.348404000000002,57.552152,344.0,10.0,334,0.0,27.048979883893825,,,2.9069767441860463,480,MUS
Eritrea,2020-08-10 05:35:15,15.1794,39.7823,285.0,0.0,245,40.0,8.03625733731443,,,0.0,232,ERI
Cambodia,2020-08-10 05:35:15,11.55,104.9167,251.0,0.0,219,32.0,1.5012885661444115,,,0.0,116,KHM
Papua New Guinea,2020-08-10 05:35:15,-6.314993,143.95555,214.0,3.0,53,158.0,2.3918559762924603,,,1.4018691588785046,598,PNG
Bhutan,2020-08-10 05:35:15,27.5142,90.4336,110.0,0.0,96,14.0,14.255869530282059,,,0.0,64,BTN
Bangladesh,2020-08-10 05:35:15,23.685,90.3563,257600.0,3399.0,148370,105831.0,156.4156688837677,,,1.3194875776397517,50,BGD
Iraq,2020-08-10 05:35:15,33.223191,43.679291,150115.0,5392.0,107775,36948.0,373.21148313420474,,,3.5919128668021183,368,IRQ
Israel,2020-08-10 05:35:15,31.046051000000002,34.851612,83002.0,600.0,57533,24869.0,958.9464136326083,,,0.722874147610901,376,ISR
Romania,2020-08-10 05:35:15,45.9432,24.9668,61768.0,2700.0,30119,28949.0,321.07818395168397,,,4.371195441005051,642,ROU
Honduras,2020-08-10 05:35:15,15.2,-86.2419,47454.0,1495.0,6597,39362.0,479.1103292528084,,,3.1504193534791587,340,HND
Uzbekistan,2020-08-10 05:35:15,41.377491,64.585262,30820.0,196.0,22042,8582.0,92.08466566528826,,,0.6359506813757301,860,UZB
Czechia,2020-08-10 05:35:15,49.8175,15.472999999999999,18353.0,390.0,12785,5178.0,171.3795018051202,,,2.124993189124394,203,CZE
Congo (Kinshasa),2020-08-10 05:35:15,-4.0383,21.7587,9454.0,224.0,8324,906.0,10.555886327999056,,,2.36936746350751,180,COD
Gabon,2020-08-10 05:35:15,-0.8037,11.6094,7923.0,51.0,5704,2168.0,355.97341633838454,,,0.6436955698599015,266,GAB
Albania,2020-08-10 05:35:15,41.1533,20.1683,6411.0,199.0,3342,2870.0,222.77434151087635,,,3.104039931367961,8,ALB
Equatorial Guinea,2020-08-10 05:35:15,1.6508,10.2679,4821.0,83.0,2182,2556.0,343.6244863630046,,,1.7216345156606514,226,GNQ
Hungary,2020-08-10 05:35:15,47.1625,19.5033,4696.0,602.0,3499,595.0,48.61107516808397,,,12.819420783645656,348,HUN
Eswatini,2020-08-10 05:35:15,-26.5225,31.4659,3236.0,58.0,1607,1571.0,278.9260828641468,,,1.792336217552534,748,SWZ
Sri Lanka,2020-08-10 05:35:15,7.873054,80.77179699999999,2844.0,11.0,2579,254.0,13.28149626983293,,,0.38677918424753865,144,LKA
Suriname,2020-08-10 05:35:15,3.9193,-56.0278,2391.0,29.0,1635,727.0,407.5795129501529,,,1.2128816394813886,740,SUR
Rwanda,2020-08-10 05:35:15,-1.9403,29.8739,2140.0,7.0,1346,787.0,16.52227816892084,,,0.32710280373831774,646,RWA
Benin,2020-08-10 05:35:15,9.3077,2.3158,1936.0,38.0,1600,298.0,15.969383656028715,,,1.962809917355372,204,BEN
Sierra Leone,2020-08-10 05:35:15,8.460555000000001,-11.779889,1916.0,68.0,1445,403.0,24.019099948163372,,,3.549060542797495,694,SLE
Gambia,2020-08-10 05:35:15,13.4432,-15.3101,1235.0,23.0,221,991.0,51.103504665936185,,,1.8623481781376519,270,GMB
Georgia,2020-08-10 05:35:15,42.3154,43.3569,1225.0,17.0,1000,208.0,30.708103805924782,,,1.3877551020408163,268,GEO
Jamaica,2020-08-10 05:35:15,18.1096,-77.2975,1023.0,14.0,745,264.0,34.54726034822153,,,1.3685239491691104,388,JAM
Monaco,2020-08-10 05:35:15,43.7333,7.4167,133.0,4.0,113,16.0,338.9053103659158,,,3.007518796992481,492,MCO
Liechtenstein,2020-08-10 05:35:15,47.14,9.55,89.0,1.0,85,3.0,233.36916904843065,,,1.1235955056179776,438,LIE
Saint Vincent and the Grenadines,2020-08-10 05:35:15,12.9843,-61.2872,57.0,0.0,52,5.0,51.37588217797687,,,0.0,670,VCT
Holy See,2020-08-10 05:35:15,41.9029,12.4534,12.0,0.0,12,0.0,1483.3127317676144,,,0.0,336,VAT
Andorra,2020-08-10 05:35:15,42.5063,1.5218,955.0,52.0,839,64.0,1236.0059535365301,,,5.445026178010472,20,AND
Kosovo,2020-08-10 05:35:15,42.602636,20.902977,9869.0,303.0,5480,4086.0,545.1383863815383,,,3.0702198804336813,383,XKS
Serbia,2020-08-10 05:35:15,44.0165,21.0059,28099.0,641.0,,27458.0,321.59562889061584,,,2.281219972241005,688,SRB
