Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Rio Grande do Sul,Brazil,2021-06-23 08:30:48,-30.0346,-51.2177,1189262,30605,1139368,19289,,10452.99303284391,,,2.573444707726304,7621,BRA,,,122997,2981
Rio de Janeiro,Brazil,2021-06-23 08:30:48,-22.9068,-43.1729,937290,54452,872813,10025,,5428.862406322453,,,5.809514664618208,7619,BRA,,,88795,4780
Rondonia,Brazil,2021-06-23 08:30:48,-11.5057,-63.5806,244761,6069,230656,8036,,13772.088508770696,,,2.4795616948778605,7622,BRA,,,17915,413
Roraima,Brazil,2021-06-23 08:30:48,-2.7376,-62.0751,109724,1713,102722,5289,,18113.414366392022,,,1.561189894644745,7623,BRA,,,7435,103
Santa Catarina,Brazil,2021-06-23 08:30:48,-27.2423,-50.2189,1032128,16436,994723,20969,,14405.562313916336,,,1.592438147206548,7624,BRA,,,79101,1490
Sao Paulo,Brazil,2021-06-23 08:30:48,-23.5505,-46.6333,3610743,123101,3215161,272481,,7863.279137161573,,,3.409298307855197,7625,BRA,,,400539,14526
Sergipe,Brazil,2021-06-23 08:30:48,-10.5741,-37.3857,259084,5583,238862,14639,,11270.911856113204,,,2.1548995692516715,7626,BRA,,,31425,630
Tocantins,Brazil,2021-06-23 08:30:48,-10.1753,-48.2982,193656,3119,174382,16155,,12312.301238630627,,,1.6105878464906844,7627,BRA,,,19242,323
Unknown,Brazil,2021-06-23 08:30:48,,,0,0,,,,,,,,7628,BRA,,,,
Alberta,Canada,2021-06-23 08:30:48,53.9333,-116.5765,231476,2290,227413,1773,,5245.147112739983,,,0.9893034267051444,12401,CAN,,,6442,98
British Columbia,Canada,2021-06-23 08:30:48,53.7267,-127.6476,147187,1743,144263,1181,,2879.8550240592826,,,1.1842078444427837,12402,CAN,,,4551,63
Diamond Princess,Canada,2021-06-23 08:30:48,,,0,1,,,,,,,,12413,CAN,,,0,0
Grand Princess,Canada,2021-06-23 08:30:48,,,13,0,13,0,,,,,0.0,12414,CAN,,,0,0
Manitoba,Canada,2021-06-23 08:30:48,53.7609,-98.8139,55467,1129,52478,1860,,4026.5927752615758,,,2.0354444985306577,12403,CAN,,,6421,94
New Brunswick,Canada,2021-06-23 08:30:48,46.5653,-66.4619,2319,45,2224,50,,297.3103604775941,,,1.9404915912031049,12404,CAN,,,166,2
